latitude,longitude,name,location,start_date,status,category,police_violence_status,number_of_arrests,image_url,City,Country
-30.82974489,-59.44707553,Monash University,"Melbourne,",<NA>,<NA>,Encampment,<NA>,<NA>,/images/Monash University.jpg,,Argentina
-32.0063566,115.8923863,Curtin University,"Perth,",<NA>,<NA>,Encampment,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,,Australia
51.0250121,3.724612,University of Ghent,<NA>,05/06/2024,<NA>,Encampment,<NA>,<NA>,/images/University of Ghent.jpg,Gent,België / Belgique / Belgien
50.8117216,4.3810842,Universitﾃｩ libre de Bruxelles,<NA>,05/08/2024,<NA>,Solidarity,<NA>,<NA>,/images/Universit libre de Bruxelles.jpg,Bruxelles - Brussel,België / Belgique / Belgien
23.3355,46.4345,University of Sﾃ｣o Paulo,<NA>,05/08/2024,<NA>,Encampment,<NA>,<NA>,/images/University of So Paulo.jpg,,المملكة العربية السعودية
53.5222986,-113.5215354,University of Alberta,"Edmonton,",04/22/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Alberta.jpg,Edmonton,Canada
49.2666656,-123.249999,University of British Columbia ,"Vancouver,",4/29/2024,Encampment,Encampment,<NA>,<NA>,/images/University of British Columbia.jpg,Electoral Area A,Canada
48.4651533,-123.3117592,University of Victoria,Greater,<NA>,Encampment,Encampment,<NA>,<NA>,/images/University of Victoria.jpg,Saanich,Canada
49.1575054,-123.9666335,Vancouver Island University,Qualicum,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Vancouver Island University.jpg,Nanaimo,Canada
45.4222,-75.6824,University of Ottawa ,"Ottowa,",<NA>,<NA>,Encampment,<NA>,<NA>,/images/University of Ottawa.jpg,Ottawa,Canada
43.0096,-81.2737,Western University,"London,",05/01/2024,Ongoing,Encampment,<NA>,<NA>,/images/Western University.jpg,London,Canada
43.5481819,-79.6620122,University of Toronto,"Toronto,",05/02/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Toronto.jpg,Mississauga,Canada
45.504784,-73.577148,McGill University,"Montreal,",04/27/2024,Encampment,McGill,<NA>,<NA>,/images/McGill University.jpg,Montréal,Canada
45.5135497,-73.5615349,University of Quebec,"Montreal,",04/27/2024,Ongoing,McGill,<NA>,<NA>,/images/University of Quebec.jpg,Montréal,Canada
30.4190997,-97.8374577,Concordia University,"Montreal,",<NA>,Encampment,Encampment,<NA>,<NA>,/images/Concordia University.jpg,Austin,United States
9.9407673,-84.043358,Universidad de Costa Rica,<NA>,05/06/2024,Upcoming,Encampment,<NA>,<NA>,/images/Universidad de Costa Rica.jpg,San Pedro,Costa Rica
23.1368,-82.3815,Havana University ,<NA>,05/06/2024,<NA>,Solidarity,<NA>,<NA>,/images/Havana University.jpg,,Cuba
30.01473886,31.50087544,American University in Cairo,<NA>,04/22/2024,Ongoing,Solidarity,<NA>,<NA>,/images/American University in Cairo.jpg,القاهرة,مصر
48.85689,2.35085,SciencesPo Paris,<NA>,04/24/2024,Encampment,Encampment,Police,<NA>,/images/SciencesPo Paris.jpg,Paris,France
48.8483252,2.3428621,Sorbonne University,<NA>,4/29/2024,Encampment,Encampment,Mass,88,/images/Sorbonne University.jpg,Paris,France
52.53819,13.41262,NYU Berlin,<NA>,04/25/2024,Encampment,Encampment,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,Berlin,Deutschland
52.5181273,13.3938468,Humboldt University,<NA>,<NA>,<NA>,Encampment,Mass,Unclear,/images/Humboldt University.jpg,Berlin,Deutschland
52.4535254,13.2898853,Free University Berlin,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Free University Berlin.jpg,Berlin,Deutschland
28.5397336,77.167486,Jawaharlal Nehru University,New,4/28/2024,Dispersed,Solidarity,<NA>,<NA>,/images/Jawaharlal Nehru University.jpg,New Delhi District,India
40.753521,-73.976631,University College Dublin,<NA>,4/17/2024,Ongoing,Solidarity,<NA>,<NA>,/images/University College Dublin.jpg,City of New York,United States
51.8936,-8.4912,University College Cork,<NA>,4/17/2024,"Dispersed,",Solidarity,<NA>,<NA>,/images/University College Cork.jpg,Cork,Éire / Ireland
53.343792,-6.254572,Trinity College Dublin,<NA>,5/3/2024,Encampment,Encampment,<NA>,<NA>,/images/Trinity College Dublin.jpg,Dublin,Éire / Ireland
41.9038,12.5144,Sapienza University of Rome,<NA>,04/17/2024,<NA>,Encampment,<NA>,<NA>,/images/Sapienza University of Rome.jpg,Roma,Italia
45.0697,7.6891,University of Turin,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/University of Turin.jpg,Torino,Italia
35.7117157,139.7637457,University of Tokyo,Bunkyo,04/28/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Tokyo.jpg,文京区,日本
35.0262,135.7808,Kyoto University,<NA>,<NA>,Encampment,Encampment,<NA>,<NA>,/images/Kyoto University.jpg,京都市,日本
35.7087,139.7196,Waseda University,<NA>,<NA>,<NA>,Solidarity,<NA>,<NA>,/images/Waseda University.jpg,新宿区,日本
35.612,139.3505,Tama Art University,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Tama Art University.jpg,八王子市,日本
35.6831,139.7319,Sophia University,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Sophia University.jpg,千代田区,日本
35.6875,139.5296,International Christian Univeristy,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/International Christian Univeristy.jpg,三鷹市,日本
34.3991,132.714,Hiroshima University,<NA>,05/04/2024,<NA>,Solidarity,<NA>,<NA>,/images/Hiroshima University.jpg,東広島市,日本
32.0125156,35.8741164,University of Jordan,<NA>,4/30/2024,Ongoing,Solidarity,<NA>,<NA>,/images/University of Jordan.jpg,,الأردن
29.1647957,48.1007087,Kuwait University,<NA>,4/29/2024,Dispersed,Solidarity,<NA>,<NA>,/images/Kuwait University.jpg,الأحمدي,الكويت
33.8728,35.4969,Beirut Arab University,<NA>,4/30/2024,Ongoing,Solidarity,<NA>,<NA>,/images/Beirut Arab University.jpg,طريق الجديدة,لبنان
19.327514,-99.18382,National Autonomous University of Mexico,<NA>,<NA>,Encampment,Encampment,<NA>,<NA>,/images/National Autonomous University of Mexico.jpg,Ciudad de México,México
52.08483,5.12573,Utrecht University,"Utrecht,",<NA>,<NA>,Occuppation,Mass,<NA>,/images/Utrecht University.jpg,Utrecht,Nederland
52.226,4.5325,University of Amsterdam,<NA>,05/06/2024,Encampment,Encampment,Mass,100,/images/University of Amsterdam.jpg,,Nederland
52.3347017,4.864027,Vrije Universiteit,<NA>,05/06/2024,<NA>,Amsterdam,<NA>,<NA>,/images/Vrije Universiteit.jpg,Amsterdam,Nederland
52.3549952,4.9537003,Amsterdam University College,<NA>,05/06/2024,<NA>,Amsterdam,<NA>,<NA>,/images/Amsterdam University College.jpg,Amsterdam,Nederland
50.8469617,5.6879808,Maastricht University,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Maastricht University.jpg,Maastricht,Nederland
